word,freq
INC.,19712
CORPORATION,18958
CO.,17159
LIMITED,16460
LLC,14728
GMBH,12015
TECHNOLOGIES,11126
LTD.,10726
&,9672
OF,9543
COMPANY,9542
SYSTEMS,9257
TECHNOLOGY,8604
INTERNATIONAL,6867
CORP.,5777
PRODUCTS,5111
THE,4766
HOLDINGS,4754
AND,4664
GROUP,4355
RESEARCH,4263
MEDICAL,4257
LTD,4256
AG,3889
INDUSTRIES,3721
SOLUTIONS,3670
AB,3187
UNIVERSITY,3067
A,2878
DE,2795
SERVICES,2764
PTY,2731
B.V.,2647
MANUFACTURING,2299
HOLDING,2283
ENGINEERING,2269
KG,2199
DEVELOPMENT,2174
ACQUISITION,1957
INCORPORATED,1953
ENERGY,1937
S.A.,1925
INSTITUTE,1875
AS,1750
ENTERPRISES,1738
IP,1667
PHARMACEUTICALS,1655
AMERICA,1634
TRUST,1621
S.P.A.,1546
NATIONAL,1542
ADVANCED,1503
ELECTRONICS,1473
CANADA,1471
POWER,1457
GLOBAL,1358
USA,1351
INNOVATIONS,1310
S.R.L.,1278
THERAPEUTICS,1257
INC,1250
INDUSTRIAL,1239
HEALTH,1231
COMMUNICATIONS,1218
NEW,1193
DESIGN,1175
FOR,1158
-,1136
FOUNDATION,1116
SOFTWARE,1116
SA,1106
OY,1097
MANAGEMENT,1085
A/S,1083
EQUIPMENT,1074
PHARMA,1048
ASSOCIATES,1031
KAISHA,1030
CHEMICAL,1022
LABORATORIES,1021
SCIENCE,1013
BANK,997
AMERICAN,991
KABUSHIKI,985
VENTURES,984
NETWORKS,972
UNITED,948
ELECTRIC,928
TECH,897
CORP,882
PARTNERSHIP,879
PARTNERS,845
SCIENCES,844
NORTH,837
INTELLECTUAL,826
CENTER,826
CAPITAL,821
INVESTMENTS,761
SYSTEM,757
MATERIALS,756
AUTOMOTIVE,753
PHARMACEUTICAL,731
INSTRUMENTS,723
PACKAGING,718
SEMICONDUCTOR,703
L.L.C.,697
ENVIRONMENTAL,684
SECURITY,666
LABS,665
JAPAN,664
GENERAL,659
DATA,656
STATE,656
INNOVATION,647
DIGITAL,639
ET,637
PRECISION,634
CO,627
SCIENTIFIC,623
MEDIA,621
UK,621
CHEMICALS,609
ELECTRONIC,604
PLASTICS,604
AKTIENGESELLSCHAFT,603
N.V.,602
UND,602
BY,598
PTY.,595
EUROPE,592
PLC,590
CONTROL,589
PATENT,568
IMAGING,565
INDUSTRY,555
DEVICES,552
STATES,549
LA,548
FRANCE,547
WATER,547
GESELLSCHAFT,543
BIOTECH,534
AIR,531
LIFE,528
INVESTMENT,526
INNOVATIVE,524
I,513
WIRELESS,513
INFORMATION,511
SOCIETE,510
II,509
HEALTHCARE,499
APS,497
NETWORK,497
DIAGNOSTICS,495
SERVICE,492
LICENSING,491
CONSULTING,491
FAMILY,490
BUSINESS,488
TOOL,486
RESOURCES,480
DELAWARE,479
SAS,478
US,478
IN,478
PTE.,476
MARKETING,475
FUR,474
AUTOMATION,472
SIEMENS,471
APPLIED,467
MOBILE,464
U.S.,463
FUND,461
SAFETY,458
TOOLS,457
