word,freq
CORPORATION,16459
INC.,14240
LIMITED,13599
CO.,12217
GMBH,8943
LLC,8315
TECHNOLOGIES,8269
&,8085
LTD.,7948
COMPANY,7825
SYSTEMS,7692
OF,6957
TECHNOLOGY,6491
INTERNATIONAL,5401
CORP.,4477
PRODUCTS,3871
RESEARCH,3736
AND,3589
GROUP,3337
HOLDINGS,3250
AG,3236
INDUSTRIES,3231
LTD,3212
MEDICAL,3089
THE,3084
DE,2997
UNIVERSITY,2700
AB,2610
SOLUTIONS,2451
SERVICES,2242
ENGINEERING,2200
PTY,2137
B.V.,2057
MANUFACTURING,1917
DEVELOPMENT,1760
HOLDING,1683
VAN,1662
KG,1661
INCORPORATED,1660
A,1588
S.A.,1585
INSTITUTE,1519
ACQUISITION,1513
ENERGY,1454
AS,1390
ENTERPRISES,1236
AMERICA,1224
ELECTRONICS,1198
PHARMACEUTICALS,1166
ADVANCED,1158
S.P.A.,1152
COMMUNICATIONS,1136
POWER,1133
CANADA,1093
NATIONAL,1044
S.R.L.,1039
ASSOCIATES,1038
DESIGN,1008
SOFTWARE,1001
FOR,996
INC,993
NETWORKS,974
OY,960
A/S,943
USA,928
MANAGEMENT,918
LABORATORIES,916
AMERICAN,915
NEW,915
INDUSTRIAL,908
CHEMICAL,906
GLOBAL,895
TRUST,869
EQUIPMENT,853
SA,843
KAISHA,843
-,819
INNOVATIONS,817
HEALTH,808
KABUSHIKI,807
IP,801
VENTURES,775
ELECTRIC,769
FOUNDATION,767
SCIENCE,754
THERAPEUTICS,735
NORTH,717
CENTER,699
PHARMA,686
BANK,679
TECH,657
PARTNERS,647
SCIENCES,632
PARTNERSHIP,628
SEMICONDUCTOR,596
CORP,596
GENERAL,588
AKTIENGESELLSCHAFT,575
(FORMERLY,571
CAPITAL,571
STATE,569
SYSTEM,567
PTY.,566
AUTOMOTIVE,560
ENVIRONMENTAL,559
UND,559
MATERIALS,553
PLASTICS,552
INSTRUMENTS,550
PACKAGING,549
PLC,545
INTELLECTUAL,545
MEDIA,532
SECURITY,529
DATA,526
ELECTRONIC,523
PHARMACEUTICAL,522
CHEMICALS,519
DIGITAL,517
PRECISION,515
SCIENTIFIC,510
LABS,510
JAPAN,507
GESELLSCHAFT,504
INVESTMENTS,502
N.V.,500
LA,489
II,483
CONSULTING,482
ET,474
CONTROL,469
APPLIED,468
UNITED,467
NETWORK,462
INFORMATION,457
INNOVATION,451
EUROPE,449
IN,441
